Probe.ElapsedSecs         Probe.Earth.RMAG          Probe.X                   Probe.Y                   Probe.Z                   Probe.VX                  Probe.VY                  Probe.VZ                  Probe.TotalMass           
0                         6771                      6771                      0                         0                         0                         7.672599                  0                         1000                      
Probe.ElapsedSecs         Probe.Earth.RMAG          Probe.X                   Probe.Y                   Probe.Z                   Probe.VX                  Probe.VY                  Probe.VZ                  Probe.TotalMass           
820000                    7556.81311067             -7152.89649031            2437.51844885             0                         -2.34439192311            -6.87406941414            0                         999.995820591             
840000                    7577.93513629             -7577.90077743            -22.8196690681            0                         0.020006590158            -7.2525658343             0                         999.995718654             
860000                    7599.08148133             -7352.85707881            -1918.73190897            0                         1.82691963761             -7.00818682417            0                         999.995616718             
880000                    7620.24387897             -6931.1709623             -3166.54162556            0                         3.00371492131             -6.57901401755            0                         999.995514781             
900000                    7641.42867985             -6619.63858377            -3817.30497727            0                         3.60637731034             -6.25733890554            0                         999.995412844             
920000                    7662.64345006             -6575.8158963             -3933.79586923            0                         3.70106232341             -6.19014545265            0                         999.995310907             
940000                    7683.8900767              -6826.75070426            -3526.70406084            0                         3.30407745886             -6.39963402056            0                         999.99520897              
960000                    7705.16366307             -7273.06774374            -2544.01899946            0                         2.37299765029             -6.78959722826            0                         999.995107034             
979999.999999             7726.45693722             -7672.49594949            -911.560589225            0                         0.845554828151            -7.13255948469            0                         999.995005097             
1000000                   7747.77079315             -7625.84169516            1369.12041232             0                         -1.2693148898             -7.0595269517             0                         999.99490316              
1020000                   7769.13069332             -6619.26796968            4067.51561465             0                         -3.75165879437            -6.10193410462            0                         999.994801223             
1040000                   7790.60386282             -4198.52496293            6562.46117573             0                         -6.02638568928            -3.85377020848            0                         999.994699286             
1060000                   7812.3029669              -323.947550142            7805.58361888             0                         -7.13726308723            -0.295083248169           0                         999.99459735              
1080000                   7834.35337419             4181.46447198             6625.13755791             0                         -6.03187153336            3.80784254403             0                         999.994495413             
1100000                   7856.80812465             7441.10179205             2521.79262192             0                         -2.28584905718            6.74609249078             0                         999.994393476             
1120000                   7879.53715666             7160.42530863             -3288.67985714            0                         2.9688302872              6.46301658549             0                         999.994291539             
1140000                   7902.19184767             2387.41628033             -7532.91971959            0                         6.77026921932             2.14478237878             0                         999.994189602             
1160000                   7924.38167754             -4489.44125535            -6529.98791623            0                         5.84317821791             -4.01912488833            0                         999.994087666             
1180000                   7946.06500557             -7944.97995674            131.3109275               0                         -0.118915616802           -7.0816090959             0                         999.993985729             
1200000                   7967.82038404             -3774.65541665            7016.98925166             0                         -6.22987896841            -3.34956067505            0                         999.993883792             
1220000                   7990.46742243             4788.66264938             6396.58343645             0                         -5.65386706097            4.23349892584             0                         999.993781855             
1240000                   8014.05849778             7695.47382563             -2237.14465445            0                         1.96909544044             6.77191630551             0                         999.993679918             
1260000                   8037.44618278             17.7420772181             -8037.42660059            0                         7.04183755733             0.0144059170516           0                         999.993577982             
1280000                   8059.64989656             -7878.06971931            -1701.16840814            0                         1.48252412489             -6.87439526585            0                         999.993476045             
1300000                   8081.63951353             -2758.63404801            7596.23824112             0                         -6.60193497766            -2.39605095407            0                         999.993374108             
1320000                   8105.16603173             7434.51964105             3228.25558293             0                         -2.79276609175            6.43281329137             0                         999.993272171             
1340000                   8129.45967273             3145.6845892              -7496.18456521            0                         6.45681583829             2.70857650477             0                         999.993170234             
1360000                   8152.20239893             -7760.27984746            -2497.29066034            0                         2.14022168601             -6.65677770119            0                         999.993068298             
1380000                   8174.45990872             -1232.12939399            8081.067501               0                         -6.90372721258            -1.0513221851             0                         999.992966361             
1400000                   8198.84148847             8171.16336751             -673.120326966            0                         0.572889288109            6.94896137377             0                         999.992864424             
1420000                   8223.13525386             -3113.74589163            -7610.81729682            0                         6.44296667916             -2.63752581674            0                         999.992762487             
1440000                   8245.41425573             -5932.74070666            5726.20676854             0                         -4.8299584296             -5.00170668633            0                         999.99266055              
1460000                   8269.48547095             7766.45424926             2840.17223924             0                         -2.3840527976             6.52068854708             0                         999.992558614             
1480000                   8294.50656005             -1435.2200939             -8169.39302254            0                         6.82709687733             -1.20074225787            0                         999.992456677             
1500000                   8317.03548699             -5965.85743339            5794.96543358             0                         -4.82495725188            -4.96477892304            0                         999.99235474              
